 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2026/01/30 16:07
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2023/09/19  13:48:05    285     52    296     287    306    333      1.2*   -------    -------    291   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/19  16:24:05    299     14    348     251    447    896     31.0*   -------    -------    297   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/19  18:24:05     55     38    194     277    100      0    -18.3*   -------    -------     56   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/19  20:36:05    144    114    483     533    428    449     -3.5    -------    -------    133   Fixed the MVI roll angle issue on 2026-01-30
2023/09/19  22:00:05    284     17    197     103    284    521     11.1*   -------    -------    288   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event
2023/09/19  22:36:05    238     36    164     221    112      0    -13.5*   -------    -------    245   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/19  23:12:05     79     89    383     370    395    422      1.7*   -------    -------     85   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/20  06:12:06     86    148    368     339    399    410      2.2    -------    -------     94   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/20  08:24:06    280     34    367     309    423    539      8.2*   -------    -------    285   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/20  15:05:45     37     67    199     129    269    951     37.1*   -------    -------     25   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/20  15:05:45    161    131    536     557    512    517     -1.9*   -------    -------    155   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/21  02:48:05    179     29    317     271    364    404      3.7*   -------    -------    176   Fixed the MVI roll angle issue on 2026-01-30
2023/09/21  11:00:05    128    112    159       0    375    668     20.3*   -------    -------    122   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/21  12:12:05    308     11    171     160    181    359      4.2*   -------    -------    308   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/21  12:48:06    253     68    362     212    499    837     27.8*   -------    -------    263   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/21  13:36:05    182     84    593     647    540    535     -5.7    -------    -------    172   Fixed the MVI roll angle issue on 2026-01-30
2023/09/21  15:48:05     63    141    474     514    428    404     -4.2    -------    -------     80   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/21  17:24:07    306     12    217     261    170      0    -24.9*   -------    -------    303   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/21  20:36:05    176    107    607     712    494    500    -10.6    -------    -------    166   Fixed the MVI roll angle issue on 2026-01-30
2023/09/21  22:36:06    265     18    292     370    214      0    -12.8*   -------    -------    261   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/22  01:25:29    208    115    307      82    517    599     14.8    -------    -------    205   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  02:24:05     49    109    983     809   1175   1069     20.1    -------    -------     35   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  04:26:28    122     29    312     117    487    613     15.2*   -------    -------    120   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  07:36:06    349     86    729     492    968   1197     49.4*   -------    -------    348   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  08:12:06    206     83    330     297    360    366      1.9    -------    -------    198   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  09:12:09     96     19    399     454    348      0     -9.8*   -------    -------    103   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  09:36:06    283     34    226     171    281    598     13.7*   -------    -------    290   Fixed the MVI roll angle issue on 2026-01-30; Only C2
